spaceIndex,spaceId,spaceSymbol,spaceAddress,proposalId,proposalTitle,proposalBody,proposalChoices,proposalStart,proposalStart.1,proposalEnd,proposalSanpshot,proposalAuth,proposalSpace,voteId,voteVoter,voteCreated,voteChoice,voteSpace
2896,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
2897,5,5,5,5,5,0,5,5,5,5,0,5,5,5,5,5,5,0
2899,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,0
2900,18,18,18,18,18,0,18,18,18,18,0,18,18,18,18,18,18,0
2906,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2907,9,9,9,9,9,6,9,9,9,9,0,9,9,9,9,9,9,0
2908,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2909,5,5,5,5,5,0,5,5,5,5,0,5,5,5,5,5,5,0
2911,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
2912,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2915,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
2916,6,6,6,6,6,0,6,6,6,6,0,6,6,6,6,6,6,0
2917,106,106,106,106,106,76,106,106,106,106,0,106,106,106,106,106,106,0
2918,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,0,1102,1102,1102,1102,1102,1102,0
2919,11,11,11,11,11,11,11,11,11,11,0,11,11,11,11,11,11,0
2921,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2925,7,7,7,7,7,0,7,7,7,7,0,7,7,7,7,7,7,0
2927,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,0
2928,18,18,18,18,18,18,18,18,18,18,0,18,18,18,18,18,18,0
2930,24,24,24,24,24,24,24,24,24,24,0,24,24,24,24,24,24,0
2931,26,26,26,26,26,0,26,26,26,26,0,26,26,26,26,26,26,0
2934,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
2935,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,0
2936,2,2,2,2,2,1,2,2,2,2,0,2,2,2,2,2,2,0
2938,14,14,14,14,14,0,14,14,14,14,0,14,14,14,14,14,14,0
2939,7,7,7,7,7,7,7,7,7,7,0,7,7,7,7,7,7,0
2943,17,17,17,17,17,3,17,17,17,17,0,17,17,17,17,17,17,0
2946,340,340,340,340,340,340,340,340,340,340,0,340,340,340,340,340,340,0
2947,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,0
2948,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,0
2949,14,14,14,14,14,0,14,14,14,14,0,14,14,14,14,14,14,0
2950,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
2952,134,134,134,134,134,124,134,134,134,134,0,134,134,134,134,134,134,0
2953,790,790,790,790,790,790,790,790,790,790,0,790,790,790,790,790,790,0
2955,16,16,16,16,16,0,16,16,16,16,0,16,16,16,16,16,16,0
2958,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,0
2960,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
2963,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2968,4,4,4,4,4,0,4,4,4,4,0,4,4,4,4,4,4,0
2973,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
2974,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
2977,35,35,35,35,35,21,35,35,35,35,0,35,35,35,35,35,35,0
2978,243,243,243,243,243,29,243,243,243,243,0,243,243,243,243,243,243,0
2981,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2982,22,22,22,22,22,9,22,22,22,22,0,22,22,22,22,22,22,0
2984,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
2985,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
2988,18,18,18,18,18,18,18,18,18,18,0,18,18,18,18,18,18,0
2991,116,116,116,116,116,115,116,116,116,116,0,116,116,116,116,116,116,0
2992,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
2993,14,14,14,14,14,14,14,14,14,14,0,14,14,14,14,14,14,0
2994,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
2996,22,22,22,22,22,22,22,22,22,22,0,22,22,22,22,22,22,0
3000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3002,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,0
3004,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3005,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3006,18,18,18,18,18,0,18,18,18,18,0,18,18,18,18,18,18,0
3007,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,0
3008,3,3,3,3,3,1,3,3,3,3,0,3,3,3,3,3,3,0
3009,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3010,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3011,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3014,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3015,38,38,38,38,38,4,38,38,38,38,0,38,38,38,38,38,38,0
3016,38,38,38,38,38,8,38,38,38,38,0,38,38,38,38,38,38,0
3017,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,0
3018,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3020,5,5,5,5,5,0,5,5,5,5,0,5,5,5,5,5,5,0
3021,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,0
3022,106,106,106,106,106,36,106,106,106,106,0,106,106,106,106,106,106,0
3023,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3024,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,0
3025,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3026,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,0
3027,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3029,70,70,70,70,70,12,70,70,70,70,0,70,70,70,70,70,70,0
3032,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3033,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,0
